clean_month,clean_hour,prod_w
Août 2023,Dimanche 0h,0.06867336086086086
Août 2023,Dimanche 10h,301.1456329767267
Août 2023,Dimanche 11h,384.1869019019019
Août 2023,Dimanche 12h,428.81787287287284
Août 2023,Dimanche 13h,464.331489771021
Août 2023,Dimanche 14h,465.86685529279276
Août 2023,Dimanche 15h,441.49565205830834
Août 2023,Dimanche 16h,388.69522866616614
Août 2023,Dimanche 17h,332.39907423048044
Août 2023,Dimanche 18h,241.32003268893894
Août 2023,Dimanche 19h,137.250410254004
Août 2023,Dimanche 1h,0.0
Août 2023,Dimanche 20h,44.78625891516516
Août 2023,Dimanche 21h,4.431755192692693
Août 2023,Dimanche 22h,1.1798370245245244
Août 2023,Dimanche 23h,0.29407814064064064
Août 2023,Dimanche 2h,0.0
Août 2023,Dimanche 3h,0.0
Août 2023,Dimanche 4h,0.0
Août 2023,Dimanche 5h,2.334334647147147
Août 2023,Dimanche 6h,7.106318193193193
Août 2023,Dimanche 7h,17.58587087087087
Août 2023,Dimanche 8h,88.46367601976976
Août 2023,Dimanche 9h,194.5509938063063
Août 2023,Jeudi 0h,0.05600075075075075
Août 2023,Jeudi 10h,305.31874286786785
Août 2023,Jeudi 11h,387.4100088838839
Août 2023,Jeudi 12h,430.9536687937938
Août 2023,Jeudi 13h,464.3335857107107
Août 2023,Jeudi 14h,462.77229166666666
Août 2023,Jeudi 15h,443.42622660160157
Août 2023,Jeudi 16h,390.74246796796797
Août 2023,Jeudi 17h,333.11698798798795
Août 2023,Jeudi 18h,241.86822535035034
Août 2023,Jeudi 19h,136.32786761761764
Août 2023,Jeudi 1h,0.0
Août 2023,Jeudi 20h,43.46304967467468
Août 2023,Jeudi 21h,4.442477977977978
Août 2023,Jeudi 22h,1.151188188188188
Août 2023,Jeudi 23h,0.27559947447447447
Août 2023,Jeudi 2h,0.0
Août 2023,Jeudi 3h,0.0
Août 2023,Jeudi 4h,0.0
Août 2023,Jeudi 5h,2.410206206206206
Août 2023,Jeudi 6h,7.229349099099099
Août 2023,Jeudi 7h,18.40771283783784
Août 2023,Jeudi 8h,89.53422622622622
Août 2023,Jeudi 9h,197.24739064064062
Août 2023,Lundi 0h,0.0713551051051051
Août 2023,Lundi 10h,305.2031858420921
Août 2023,Lundi 11h,389.03452874749746
Août 2023,Lundi 12h,431.2922184684685
Août 2023,Lundi 13h,466.8924537037037
Août 2023,Lundi 14h,470.75322009509506
Août 2023,Lundi 15h,446.7132401151151
Août 2023,Lundi 16h,395.4595969406907
Août 2023,Lundi 17h,336.32491131756757
Août 2023,Lundi 18h,243.72629238613615
Août 2023,Lundi 19h,137.45334819194196
Août 2023,Lundi 1h,0.0
Août 2023,Lundi 20h,43.44334553303303
Août 2023,Lundi 21h,4.421278153153153
Août 2023,Lundi 22h,1.198912037037037
Août 2023,Lundi 23h,0.2849390015015015
Août 2023,Lundi 2h,0.0
Août 2023,Lundi 3h,0.0
Août 2023,Lundi 4h,0.0
Août 2023,Lundi 5h,2.3882299486986986
Août 2023,Lundi 6h,7.2347606981981984
Août 2023,Lundi 7h,17.29342576951952
Août 2023,Lundi 8h,90.20219672797798
Août 2023,Lundi 9h,198.24984484484486
Août 2023,Mardi 0h,0.06479714089089089
Août 2023,Mardi 10h,289.5449149149149
Août 2023,Mardi 11h,372.75712071446446
Août 2023,Mardi 12h,418.431001001001
Août 2023,Mardi 13h,452.6966729229229
Août 2023,Mardi 14h,458.9268972097097
Août 2023,Mardi 15h,436.43789007757755
Août 2023,Mardi 16h,388.4013036473974
Août 2023,Mardi 17h,332.65844719719723
Août 2023,Mardi 18h,237.40348755005004
Août 2023,Mardi 19h,132.47353400275276
Août 2023,Mardi 1h,0.0
Août 2023,Mardi 20h,40.05067723973974
Août 2023,Mardi 21h,4.106104385635636
Août 2023,Mardi 22h,1.298907344844845
Août 2023,Mardi 23h,0.2585767017017017
Août 2023,Mardi 2h,0.0
Août 2023,Mardi 3h,0.0
Août 2023,Mardi 4h,0.0
Août 2023,Mardi 5h,2.4847073636136137
Août 2023,Mardi 6h,7.334568631131131
Août 2023,Mardi 7h,16.81789179804805
Août 2023,Mardi 8h,84.26630411661662
Août 2023,Mardi 9h,186.738940503003
Août 2023,Mercredi 0h,0.06244838588588589
Août 2023,Mercredi 10h,297.39660707582584
Août 2023,Mercredi 11h,378.793305492993
Août 2023,Mercredi 12h,417.4183887012012
Août 2023,Mercredi 13h,446.94580533658655
Août 2023,Mercredi 14h,449.56017908533534
Août 2023,Mercredi 15h,423.17741538413406
Août 2023,Mercredi 16h,377.9292262575075
Août 2023,Mercredi 17h,325.8432764014014
Août 2023,Mercredi 18h,236.2749049049049
Août 2023,Mercredi 19h,129.79251642267266
Août 2023,Mercredi 1h,0.0
Août 2023,Mercredi 20h,38.95449042792793
Août 2023,Mercredi 21h,4.330659409409409
Août 2023,Mercredi 22h,1.2200705392892892
Août 2023,Mercredi 23h,0.23595063813813816
Août 2023,Mercredi 2h,0.0
Août 2023,Mercredi 3h,0.0
Août 2023,Mercredi 4h,0.0
Août 2023,Mercredi 5h,2.451028684934935
Août 2023,Mercredi 6h,7.176483045545545
Août 2023,Mercredi 7h,16.31267048298298
Août 2023,Mercredi 8h,84.48240412287288
Août 2023,Mercredi 9h,190.5776903465966
Août 2023,Samedi 0h,0.058478603603603595
Août 2023,Samedi 10h,308.600644019019
Août 2023,Samedi 11h,393.7229986236236
Août 2023,Samedi 12h,439.6159124124124
Août 2023,Samedi 13h,473.26455117617616
Août 2023,Samedi 14h,474.63589802302306
Août 2023,Samedi 15h,447.5328746246247
Août 2023,Samedi 16h,393.8623385885886
Août 2023,Samedi 17h,335.17200225225224
Août 2023,Samedi 18h,241.52679141641642
Août 2023,Samedi 19h,132.964625
Août 2023,Samedi 1h,0.0
Août 2023,Samedi 20h,40.39560698198198
Août 2023,Samedi 21h,4.198027527527527
Août 2023,Samedi 22h,1.1521386386386385
Août 2023,Samedi 23h,0.19187712712712712
Août 2023,Samedi 2h,0.0
Août 2023,Samedi 3h,0.0
Août 2023,Samedi 4h,0.0
Août 2023,Samedi 5h,2.4904724724724727
Août 2023,Samedi 6h,7.142312687687687
Août 2023,Samedi 7h,17.000228978978978
Août 2023,Samedi 8h,86.65442154654654
Août 2023,Samedi 9h,197.29622647647648
Août 2023,Vendredi 0h,0.06440365365365365
Août 2023,Vendredi 10h,306.0228312062062
Août 2023,Vendredi 11h,397.31399787287285
Août 2023,Vendredi 12h,443.69615540540536
Août 2023,Vendredi 13h,476.1568822572573
Août 2023,Vendredi 14h,477.3371682932933
Août 2023,Vendredi 15h,452.47186861861866
Août 2023,Vendredi 16h,396.7935085085085
Août 2023,Vendredi 17h,336.32816629129127
Août 2023,Vendredi 18h,242.645638013013
Août 2023,Vendredi 19h,135.78947147147147
Août 2023,Vendredi 1h,0.0
Août 2023,Vendredi 20h,42.14533571071071
Août 2023,Vendredi 21h,4.433047422422422
Août 2023,Vendredi 22h,1.238487737737738
Août 2023,Vendredi 23h,0.2805878378378378
Août 2023,Vendredi 2h,0.0
Août 2023,Vendredi 3h,0.0
Août 2023,Vendredi 4h,0.0
Août 2023,Vendredi 5h,2.428259884884885
Août 2023,Vendredi 6h,7.275226101101102
Août 2023,Vendredi 7h,17.361316816816817
Août 2023,Vendredi 8h,88.489252002002
Août 2023,Vendredi 9h,200.51926401401403
Avril 2023,Dimanche 0h,0.022666103603603605
Avril 2023,Dimanche 10h,301.73907579454453
Avril 2023,Dimanche 11h,391.90822603853854
Avril 2023,Dimanche 12h,446.3928553553553
Avril 2023,Dimanche 13h,477.6586111111111
Avril 2023,Dimanche 14h,474.09847018893896
Avril 2023,Dimanche 15h,442.1010910910911
Avril 2023,Dimanche 16h,382.01616382007006
Avril 2023,Dimanche 17h,312.7970534597097
Avril 2023,Dimanche 18h,215.31234015265267
Avril 2023,Dimanche 19h,105.19356809934935
Avril 2023,Dimanche 1h,0.0
Avril 2023,Dimanche 20h,21.548075575575574
Avril 2023,Dimanche 21h,3.589395802052052
Avril 2023,Dimanche 22h,1.2845884947447446
Avril 2023,Dimanche 23h,0.6697858796296297
Avril 2023,Dimanche 2h,0.0
Avril 2023,Dimanche 3h,0.0
Avril 2023,Dimanche 4h,0.0
Avril 2023,Dimanche 5h,3.2032094594594596
Avril 2023,Dimanche 6h,8.301618962712713
Avril 2023,Dimanche 7h,15.28361549049049
Avril 2023,Dimanche 8h,77.68739473848849
Avril 2023,Dimanche 9h,187.75566238113112
Avril 2023,Jeudi 0h,0.0250269019019019
Avril 2023,Jeudi 10h,280.1052382069569
Avril 2023,Jeudi 11h,366.0584676864364
Avril 2023,Jeudi 12h,410.0294395958458
Avril 2023,Jeudi 13h,437.35163773148145
Avril 2023,Jeudi 14h,435.69762700200204
Avril 2023,Jeudi 15h,405.1575351914414
Avril 2023,Jeudi 16h,352.4763357107107
Avril 2023,Jeudi 17h,290.04199074074074
Avril 2023,Jeudi 18h,200.0862334209209
Avril 2023,Jeudi 19h,98.4188206956957
Avril 2023,Jeudi 1h,0.0
Avril 2023,Jeudi 20h,19.117350631881884
Avril 2023,Jeudi 21h,3.6841815252752754
Avril 2023,Jeudi 22h,1.336761448948949
Avril 2023,Jeudi 23h,0.6349909284284285
Avril 2023,Jeudi 2h,0.0
Avril 2023,Jeudi 3h,0.0
Avril 2023,Jeudi 4h,0.0
Avril 2023,Jeudi 5h,3.208804742242242
Avril 2023,Jeudi 6h,8.024271146146146
Avril 2023,Jeudi 7h,13.77492383008008
Avril 2023,Jeudi 8h,68.77348567317318
Avril 2023,Jeudi 9h,172.81102524399398
Avril 2023,Lundi 0h,0.020754254254254253
Avril 2023,Lundi 10h,290.85921621621617
Avril 2023,Lundi 11h,378.68227527527523
Avril 2023,Lundi 12h,429.8213647397397
Avril 2023,Lundi 13h,459.61780980980984
Avril 2023,Lundi 14h,459.6478648648648
Avril 2023,Lundi 15h,431.35843943943945
Avril 2023,Lundi 16h,373.40323611111114
Avril 2023,Lundi 17h,305.1258186936937
Avril 2023,Lundi 18h,208.2091659159159
Avril 2023,Lundi 19h,100.54978716216218
Avril 2023,Lundi 1h,0.0
Avril 2023,Lundi 20h,19.464670545545545
Avril 2023,Lundi 21h,3.656221721721722
Avril 2023,Lundi 22h,1.2507024524524524
Avril 2023,Lundi 23h,0.644807932932933
Avril 2023,Lundi 2h,0.0
Avril 2023,Lundi 3h,0.0
Avril 2023,Lundi 4h,0.0
Avril 2023,Lundi 5h,3.218459209209209
Avril 2023,Lundi 6h,8.079649024024025
Avril 2023,Lundi 7h,14.770721846846849
Avril 2023,Lundi 8h,71.59076876876877
Avril 2023,Lundi 9h,178.80946771771772
Avril 2023,Mardi 0h,0.021975600600600602
Avril 2023,Mardi 10h,285.50661186186187
Avril 2023,Mardi 11h,372.1753068068068
Avril 2023,Mardi 12h,425.83881931931927
Avril 2023,Mardi 13h,457.2839584584584
Avril 2023,Mardi 14h,456.0955994744745
Avril 2023,Mardi 15h,424.48083070570567
Avril 2023,Mardi 16h,364.59217179679683
Avril 2023,Mardi 17h,300.7962387387387
Avril 2023,Mardi 18h,205.49802677677675
Avril 2023,Mardi 19h,100.417497997998
Avril 2023,Mardi 1h,0.0
Avril 2023,Mardi 20h,20.41873023023023
Avril 2023,Mardi 21h,3.5216835585585584
Avril 2023,Mardi 22h,1.2251024774774775
Avril 2023,Mardi 23h,0.6545233983983985
Avril 2023,Mardi 2h,0.0
Avril 2023,Mardi 3h,0.0
Avril 2023,Mardi 4h,0.0
Avril 2023,Mardi 5h,3.232883133133133
Avril 2023,Mardi 6h,8.192674549549547
Avril 2023,Mardi 7h,15.460795795795795
Avril 2023,Mardi 8h,71.65913838838839
Avril 2023,Mardi 9h,176.3445015015015
Avril 2023,Mercredi 0h,0.019944475725725726
Avril 2023,Mercredi 10h,283.31910222722723
Avril 2023,Mercredi 11h,369.57006459584585
Avril 2023,Mercredi 12h,421.60192677052055
Avril 2023,Mercredi 13h,452.31734234234233
Avril 2023,Mercredi 14h,450.5655299049049
Avril 2023,Mercredi 15h,418.8625140765766
Avril 2023,Mercredi 16h,359.5708372434935
Avril 2023,Mercredi 17h,291.85385838963964
Avril 2023,Mercredi 18h,199.22861986986985
Avril 2023,Mercredi 19h,96.1388307057057
Avril 2023,Mercredi 1h,0.0
Avril 2023,Mercredi 20h,17.735758883883886
Avril 2023,Mercredi 21h,3.8244871433933936
Avril 2023,Mercredi 22h,1.4136236236236237
Avril 2023,Mercredi 23h,0.659426926926927
Avril 2023,Mercredi 2h,0.0
Avril 2023,Mercredi 3h,0.0
Avril 2023,Mercredi 4h,0.0
Avril 2023,Mercredi 5h,3.330520207707708
Avril 2023,Mercredi 6h,8.413992742742742
Avril 2023,Mercredi 7h,14.55846096096096
Avril 2023,Mercredi 8h,69.46202937312313
Avril 2023,Mercredi 9h,174.68639045295293
Avril 2023,Samedi 0h,0.020772178428428427
Avril 2023,Samedi 10h,291.14250328453454
Avril 2023,Samedi 11h,383.8958336461461
Avril 2023,Samedi 12h,436.07203781906907
Avril 2023,Samedi 13h,463.5876973848849
Avril 2023,Samedi 14h,461.6045434496997
Avril 2023,Samedi 15h,430.6995052865365
Avril 2023,Samedi 16h,374.3806110798298
Avril 2023,Samedi 17h,301.5880242742743
Avril 2023,Samedi 18h,206.01962118368368
Avril 2023,Samedi 19h,101.22027480605605
Avril 2023,Samedi 1h,0.0
Avril 2023,Samedi 20h,19.92462525025025
Avril 2023,Samedi 21h,3.5302546296296295
Avril 2023,Samedi 22h,1.3736991679179178
Avril 2023,Samedi 23h,0.6424028716216217
Avril 2023,Samedi 2h,0.0
Avril 2023,Samedi 3h,0.0
Avril 2023,Samedi 4h,0.0
Avril 2023,Samedi 5h,3.1960141391391392
Avril 2023,Samedi 6h,7.9810166416416415
Avril 2023,Samedi 7h,14.867228165665665
Avril 2023,Samedi 8h,75.76132147772773
Avril 2023,Samedi 9h,185.07681478353354
Avril 2023,Vendredi 0h,0.020693193193193193
Avril 2023,Vendredi 10h,289.58926989489487
Avril 2023,Vendredi 11h,376.9782293230731
Avril 2023,Vendredi 12h,426.77100100100097
Avril 2023,Vendredi 13h,454.71773992742743
Avril 2023,Vendredi 14h,450.6049344657157
Avril 2023,Vendredi 15h,424.8818995558058
Avril 2023,Vendredi 16h,368.3605580580581
Avril 2023,Vendredi 17h,304.9333352102102
Avril 2023,Vendredi 18h,210.89685935935935
Avril 2023,Vendredi 19h,103.40605668168169
Avril 2023,Vendredi 1h,0.0
Avril 2023,Vendredi 20h,20.227512356106107
Avril 2023,Vendredi 21h,3.6660305618118114
Avril 2023,Vendredi 22h,1.2125495808308309
Avril 2023,Vendredi 23h,0.6379288663663664
Avril 2023,Vendredi 2h,0.0
Avril 2023,Vendredi 3h,0.0
Avril 2023,Vendredi 4h,0.0
Avril 2023,Vendredi 5h,3.2907307307307305
Avril 2023,Vendredi 6h,8.219669513263263
Avril 2023,Vendredi 7h,14.58532251001001
Avril 2023,Vendredi 8h,72.19443584209209
Avril 2023,Vendredi 9h,179.1655466403904
Décembre 2023,Dimanche 0h,0.0
Décembre 2023,Dimanche 10h,87.18567605105105
Décembre 2023,Dimanche 11h,131.32742755255254
Décembre 2023,Dimanche 12h,156.24436136136137
Décembre 2023,Dimanche 13h,155.40029917417417
Décembre 2023,Dimanche 14h,129.79838238238239
Décembre 2023,Dimanche 15h,83.20626764264264
Décembre 2023,Dimanche 16h,33.30028928928929
Décembre 2023,Dimanche 17h,5.409021771771772
Décembre 2023,Dimanche 18h,4.8441313813813816
Décembre 2023,Dimanche 19h,3.8923719969969968
Décembre 2023,Dimanche 1h,0.0
Décembre 2023,Dimanche 20h,2.528289914914915
Décembre 2023,Dimanche 21h,1.059933933933934
Décembre 2023,Dimanche 22h,0.06665853353353354
Décembre 2023,Dimanche 23h,0.0
Décembre 2023,Dimanche 2h,0.0
Décembre 2023,Dimanche 3h,2.995554054054054
Décembre 2023,Dimanche 4h,8.233551801801802
Décembre 2023,Dimanche 5h,13.371853103103103
Décembre 2023,Dimanche 6h,17.18760610610611
Décembre 2023,Dimanche 7h,19.040479854854855
Décembre 2023,Dimanche 8h,20.16473636136136
Décembre 2023,Dimanche 9h,36.54572597597597
Décembre 2023,Jeudi 0h,0.0
Décembre 2023,Jeudi 10h,88.26988863863863
Décembre 2023,Jeudi 11h,134.0755006569069
Décembre 2023,Jeudi 12h,162.192490772022
Décembre 2023,Jeudi 13h,162.20040024399398
Décembre 2023,Jeudi 14h,135.5889067192192
Décembre 2023,Jeudi 15h,86.52118196321321
Décembre 2023,Jeudi 16h,33.66258039289289
Décembre 2023,Jeudi 17h,5.241291916916917
Décembre 2023,Jeudi 18h,4.715168293293294
Décembre 2023,Jeudi 19h,3.823247466216216
Décembre 2023,Jeudi 1h,0.0
Décembre 2023,Jeudi 20h,2.627372997997998
Décembre 2023,Jeudi 21h,1.0791371058558559
Décembre 2023,Jeudi 22h,0.06202405530530531
Décembre 2023,Jeudi 23h,0.0
Décembre 2023,Jeudi 2h,0.0
Décembre 2023,Jeudi 3h,2.988405905905906
Décembre 2023,Jeudi 4h,8.251258289539539
Décembre 2023,Jeudi 5h,13.353608765015014
Décembre 2023,Jeudi 6h,16.917885698198198
Décembre 2023,Jeudi 7h,18.972211742992993
Décembre 2023,Jeudi 8h,19.616057463713716
Décembre 2023,Jeudi 9h,35.83882507507507
Décembre 2023,Lundi 0h,0.0
Décembre 2023,Lundi 10h,85.85483258258259
Décembre 2023,Lundi 11h,129.10975300300302
Décembre 2023,Lundi 12h,154.0570833333333
Décembre 2023,Lundi 13h,153.2222331081081
Décembre 2023,Lundi 14h,128.28976076076077
Décembre 2023,Lundi 15h,82.74463013013013
Décembre 2023,Lundi 16h,33.15265027527528
Décembre 2023,Lundi 17h,5.3611747997998
Décembre 2023,Lundi 18h,4.811129379379379
Décembre 2023,Lundi 19h,3.8762084584584584
Décembre 2023,Lundi 1h,0.0
Décembre 2023,Lundi 20h,2.630038663663664
Décembre 2023,Lundi 21h,1.1400025025025022
Décembre 2023,Lundi 22h,0.07883683683683684
Décembre 2023,Lundi 23h,0.0
Décembre 2023,Lundi 2h,0.0
Décembre 2023,Lundi 3h,2.9009431931931933
Décembre 2023,Lundi 4h,8.052137512512513
Décembre 2023,Lundi 5h,12.926256256256256
Décembre 2023,Lundi 6h,16.628105230230226
Décembre 2023,Lundi 7h,18.694461211211213
Décembre 2023,Lundi 8h,19.556045170170172
Décembre 2023,Lundi 9h,35.38460435435435
Décembre 2023,Mardi 0h,0.0
Décembre 2023,Mardi 10h,84.00828753753754
Décembre 2023,Mardi 11h,126.96928428428427
Décembre 2023,Mardi 12h,151.07693718718718
Décembre 2023,Mardi 13h,150.9800193943944
Décembre 2023,Mardi 14h,128.1903778778779
Décembre 2023,Mardi 15h,83.07215390390391
Décembre 2023,Mardi 16h,33.5640218968969
Décembre 2023,Mardi 17h,5.387857857857858
Décembre 2023,Mardi 18h,4.77799512012012
Décembre 2023,Mardi 19h,3.9929917417417413
Décembre 2023,Mardi 1h,0.0
Décembre 2023,Mardi 20h,2.6103164414414413
Décembre 2023,Mardi 21h,1.0788501001001
Décembre 2023,Mardi 22h,0.07607745245245245
Décembre 2023,Mardi 23h,0.0
Décembre 2023,Mardi 2h,0.0
Décembre 2023,Mardi 3h,2.874224974974975
Décembre 2023,Mardi 4h,8.081321946946947
Décembre 2023,Mardi 5h,12.965023648648648
Décembre 2023,Mardi 6h,16.330649774774777
Décembre 2023,Mardi 7h,17.906060435435432
Décembre 2023,Mardi 8h,18.836290915915917
Décembre 2023,Mardi 9h,34.430272772772774
Décembre 2023,Mercredi 0h,0.0
Décembre 2023,Mercredi 10h,86.66898711211212
Décembre 2023,Mercredi 11h,130.6236183058058
Décembre 2023,Mercredi 12h,156.13711586586587
Décembre 2023,Mercredi 13h,155.33659581456456
Décembre 2023,Mercredi 14h,130.6792528465966
Décembre 2023,Mercredi 15h,83.52972754004004
Décembre 2023,Mercredi 16h,33.18123607982983
Décembre 2023,Mercredi 17h,5.249108014264264
Décembre 2023,Mercredi 18h,4.60873607982983
Décembre 2023,Mercredi 19h,3.676393268268268
Décembre 2023,Mercredi 1h,0.0
Décembre 2023,Mercredi 20h,2.3325314376876873
Décembre 2023,Mercredi 21h,0.9450020332832832
Décembre 2023,Mercredi 22h,0.06375625625625625
Décembre 2023,Mercredi 23h,0.0
Décembre 2023,Mercredi 2h,0.0
Décembre 2023,Mercredi 3h,3.057772929179179
Décembre 2023,Mercredi 4h,8.501487424924925
Décembre 2023,Mercredi 5h,13.631232482482483
Décembre 2023,Mercredi 6h,17.54472800925926
Décembre 2023,Mercredi 7h,19.54908126876877
Décembre 2023,Mercredi 8h,20.271162256006004
Décembre 2023,Mercredi 9h,35.97929273023023
Décembre 2023,Samedi 0h,0.0
Décembre 2023,Samedi 10h,82.96880020645645
Décembre 2023,Samedi 11h,125.6740529592092
Décembre 2023,Samedi 12h,150.47698902027025
Décembre 2023,Samedi 13h,151.28245073198198
Décembre 2023,Samedi 14h,127.4258791604104
Décembre 2023,Samedi 15h,81.82218030530531
Décembre 2023,Samedi 16h,32.52820586211212
Décembre 2023,Samedi 17h,5.27490162037037
Décembre 2023,Samedi 18h,4.7432667042042045
Décembre 2023,Samedi 19h,3.8282246308808805
Décembre 2023,Samedi 1h,0.0
Décembre 2023,Samedi 20h,2.5088837274774773
Décembre 2023,Samedi 21h,1.1451994181681682
Décembre 2023,Samedi 22h,0.0734543918918919
Décembre 2023,Samedi 23h,0.0
Décembre 2023,Samedi 2h,0.0
Décembre 2023,Samedi 3h,2.8356190565565567
Décembre 2023,Samedi 4h,8.111977602602604
Décembre 2023,Samedi 5h,13.200010948448448
Décembre 2023,Samedi 6h,17.108392298548548
Décembre 2023,Samedi 7h,18.93442458083083
Décembre 2023,Samedi 8h,19.8510106981982
Décembre 2023,Samedi 9h,34.19439236111111
Décembre 2023,Vendredi 0h,0.0
Décembre 2023,Vendredi 10h,84.15391203703703
Décembre 2023,Vendredi 11h,128.01162490615616
Décembre 2023,Vendredi 12h,154.6417597284785
Décembre 2023,Vendredi 13h,156.6994904279279
Décembre 2023,Vendredi 14h,130.90122966716717
Décembre 2023,Vendredi 15h,84.24717686436436
Décembre 2023,Vendredi 16h,33.37235407282282
Décembre 2023,Vendredi 17h,5.186394519519519
Décembre 2023,Vendredi 18h,4.562709271771771
Décembre 2023,Vendredi 19h,3.834063594844845
Décembre 2023,Vendredi 1h,0.0
Décembre 2023,Vendredi 20h,2.4962418668668667
Décembre 2023,Vendredi 21h,1.0976526526526527
Décembre 2023,Vendredi 22h,0.07732091466466466
Décembre 2023,Vendredi 23h,0.0
Décembre 2023,Vendredi 2h,0.0
Décembre 2023,Vendredi 3h,2.9222772772772774
Décembre 2023,Vendredi 4h,8.195845845845845
Décembre 2023,Vendredi 5h,13.424257695195195
Décembre 2023,Vendredi 6h,16.973752971721723
Décembre 2023,Vendredi 7h,19.032350788288287
Décembre 2023,Vendredi 8h,19.775796421421422
Décembre 2023,Vendredi 9h,33.70357685810811
Février 2023,Dimanche 0h,0.0
Février 2023,Dimanche 10h,148.93280671296296
Février 2023,Dimanche 11h,206.03684950575575
Février 2023,Dimanche 12h,244.65044137887887
Février 2023,Dimanche 13h,243.52254504504504
Février 2023,Dimanche 14h,228.38246355730732
Février 2023,Dimanche 15h,185.89720579954954
